dac_inputs (V),adc_outputs
0.274950,17
0.275556,17
0.276161,18
0.276767,18
0.277372,18
0.277978,18
0.278584,18
0.279189,18
0.279795,18
0.280400,18
0.281006,18
0.281612,18
0.282217,19
0.282823,18
0.283429,19
0.284034,18
0.284640,18
0.285245,19
0.285851,18
0.286457,18
0.287062,19
0.287668,19
0.288274,18
0.288879,19
0.289485,19
0.290090,19
0.290696,20
0.291302,20
0.291907,20
0.292513,19
0.293118,19
0.293724,19
0.294330,19
0.294935,19
0.295541,19
0.296147,20
0.296752,20
0.297358,20
0.297963,20
0.298569,20
0.299175,20
0.299780,20
0.300386,21
0.300991,21
0.301597,20
0.302203,20
0.302808,20
0.303414,20
0.304020,20
0.304625,20
0.305231,21
0.305836,21
0.306442,20
0.307048,21
0.307653,21
0.308259,20
0.308864,21
0.309470,21
0.310076,21
0.310681,22
0.311287,21
0.311893,21
0.312498,22
0.313104,21
0.313709,22
0.314315,21
0.314921,22
0.315526,22
0.316132,22
0.316737,22
0.317343,22
0.317949,22
0.318554,22
0.319160,22
0.319766,22
0.320371,23
0.320977,22
0.321582,22
0.322188,22
0.322794,23
0.323399,23
0.324005,22
0.324611,23
0.325216,23
0.325822,23
0.326427,23
0.327033,23
0.327639,24
0.328244,24
0.328850,24
0.329455,24
0.330061,24
0.330667,24
0.331272,23
0.331878,23
0.332484,24
0.333089,24
0.333695,24
0.334300,24
0.334906,23
0.335512,24
0.336117,25
0.336723,24
0.337328,24
0.337934,24
0.338540,25
0.339145,25
0.339751,24
0.340357,24
0.340962,25
0.341568,25
0.342173,25
0.342779,25
0.343385,24
0.343990,25
0.344596,25
0.345201,26
0.345807,26
0.346413,26
0.347018,25
0.347624,25
0.348230,25
0.348835,25
0.349441,25
0.350046,25
0.350652,25
0.351258,25
0.351863,25
0.352469,26
0.353074,26
0.353680,26
0.354286,26
0.354891,27
0.355497,26
0.356103,26
0.356708,26
0.357314,27
0.357919,27
0.358525,26
0.359131,26
0.359736,27
0.360342,26
0.360947,26
0.361553,27
0.362159,27
0.362764,26
0.363370,27
0.363976,28
0.364581,27
0.365187,27
0.365792,28
0.366398,27
0.367004,27
0.367609,27
0.368215,27
0.368821,28
0.369426,27
0.370032,28
0.370637,28
0.371243,27
0.371849,28
0.372454,28
0.373060,28
0.373665,28
0.374271,28
0.374877,28
0.375482,28
0.376088,28
0.376694,28
0.377299,28
0.377905,29
0.378510,28
0.379116,29
0.379722,29
0.380327,29
0.380933,29
0.381538,29
0.382144,29
0.382750,29
0.383355,29
0.383961,29
0.384567,29
0.385172,29
0.385778,30
0.386383,30
0.386989,29
0.387595,29
0.388200,30
0.388806,30
0.389411,30
0.390017,29
0.390623,30
0.391228,30
0.391834,29
0.392440,30
0.393045,30
0.393651,30
0.394256,31
0.394862,30
0.395468,30
0.396073,30
0.396679,30
0.397284,30
0.397890,30
0.398496,31
0.399101,30
0.399707,31
0.400313,31
0.400918,31
0.401524,31
0.402129,31
0.402735,31
0.403341,31
0.403946,31
0.404552,31
0.405158,32
