dac_inputs (V),adc_outputs
0.274950,27
0.275556,27
0.276161,27
0.276767,28
0.277372,27
0.277978,27
0.278584,28
0.279189,27
0.279795,27
0.280400,28
0.281006,28
0.281612,28
0.282217,27
0.282823,28
0.283429,29
0.284034,28
0.284640,29
0.285245,28
0.285851,28
0.286457,28
0.287062,28
0.287668,28
0.288274,29
0.288879,29
0.289485,29
0.290090,29
0.290696,29
0.291302,29
0.291907,29
0.292513,29
0.293118,29
0.293724,30
0.294330,29
0.294935,29
0.295541,30
0.296147,29
0.296752,29
0.297358,30
0.297963,29
0.298569,29
0.299175,30
0.299780,30
0.300386,30
0.300991,30
0.301597,30
0.302203,30
0.302808,30
0.303414,31
0.304020,30
0.304625,30
0.305231,30
0.305836,31
0.306442,30
0.307048,31
0.307653,31
0.308259,31
0.308864,31
0.309470,31
0.310076,31
0.310681,31
0.311287,31
0.311893,31
0.312498,31
0.313104,31
0.313709,31
0.314315,31
0.314921,32
0.315526,31
0.316132,31
0.316737,31
0.317343,32
0.317949,32
0.318554,31
0.319160,32
0.319766,32
0.320371,32
0.320977,32
0.321582,32
0.322188,32
0.322794,32
0.323399,32
0.324005,32
0.324611,32
0.325216,32
0.325822,33
0.326427,33
0.327033,33
0.327639,33
0.328244,33
0.328850,33
0.329455,33
0.330061,33
0.330667,33
0.331272,33
0.331878,33
0.332484,33
0.333089,33
0.333695,33
0.334300,34
0.334906,33
0.335512,34
0.336117,33
0.336723,34
0.337328,33
0.337934,34
0.338540,34
0.339145,34
0.339751,34
0.340357,34
0.340962,34
0.341568,35
0.342173,34
0.342779,34
0.343385,35
0.343990,34
0.344596,34
0.345201,34
0.345807,34
0.346413,35
0.347018,35
0.347624,35
0.348230,35
0.348835,35
0.349441,35
0.350046,35
0.350652,35
0.351258,35
0.351863,35
0.352469,35
0.353074,35
0.353680,35
0.354286,36
0.354891,35
0.355497,35
0.356103,36
0.356708,36
0.357314,36
0.357919,36
0.358525,36
0.359131,36
0.359736,36
0.360342,36
0.360947,36
0.361553,37
0.362159,37
0.362764,36
0.363370,36
0.363976,37
0.364581,37
0.365187,37
0.365792,37
0.366398,37
0.367004,37
0.367609,37
0.368215,37
0.368821,37
0.369426,37
0.370032,38
0.370637,37
0.371243,37
0.371849,38
0.372454,38
0.373060,38
0.373665,37
0.374271,38
0.374877,38
0.375482,37
0.376088,38
0.376694,38
0.377299,38
0.377905,38
0.378510,38
0.379116,38
0.379722,38
0.380327,38
0.380933,38
0.381538,38
0.382144,38
0.382750,39
0.383355,39
0.383961,39
0.384567,39
0.385172,39
0.385778,39
0.386383,39
0.386989,39
0.387595,39
0.388200,39
0.388806,39
0.389411,39
0.390017,40
0.390623,40
0.391228,40
0.391834,40
0.392440,39
0.393045,39
0.393651,40
0.394256,40
0.394862,40
0.395468,40
0.396073,40
0.396679,41
0.397284,40
0.397890,40
0.398496,41
0.399101,40
0.399707,40
0.400313,40
0.400918,40
0.401524,40
0.402129,40
0.402735,40
0.403341,40
0.403946,41
0.404552,41
0.405158,41
0.405763,41
0.406369,41
0.406974,41
0.407580,41
0.408186,42
0.408791,42
0.409397,42
0.410002,41
0.410608,41
0.411214,41
0.411819,41
0.412425,42
0.413031,42
0.413636,42
0.414242,43
0.414847,42
0.415453,42
0.416059,42
0.416664,42
0.417270,42
0.417875,42
0.418481,42
0.419087,42
0.419692,42
0.420298,43
0.420904,42
0.421509,43
0.422115,43
0.422720,43
0.423326,43
0.423932,43
0.424537,43
0.425143,43
0.425748,44
0.426354,43
0.426960,43
0.427565,43
0.428171,43
0.428777,43
0.429382,43
0.429988,44
0.430593,44
0.431199,43
0.431805,44
0.432410,44
0.433016,44
0.433621,44
0.434227,44
0.434833,44
0.435438,45
0.436044,44
0.436650,44
0.437255,44
0.437861,44
0.438466,45
0.439072,45
0.439678,45
0.440283,45
0.440889,45
0.441495,45
0.442100,45
0.442706,45
0.443311,45
0.443917,45
0.444523,45
0.445128,45
0.445734,45
0.446339,46
0.446945,46
0.447551,45
0.448156,45
0.448762,45
0.449368,45
0.449973,45
0.450579,46
0.451184,46
0.451790,46
0.452396,46
0.453001,46
0.453607,46
0.454212,46
0.454818,46
0.455424,47
0.456029,47
0.456635,47
0.457241,46
0.457846,47
0.458452,47
0.459057,47
0.459663,47
0.460269,47
0.460874,47
0.461480,47
0.462085,48
0.462691,47
